year,group/commodity,production
1997,bajra,6.8
1997,cereals,185.7
1997,coffee,0.3
1997,cotton,9.5
1997,foodgrains,196.8
1997,gram,3.9
1997,groundnut,6.4
1997,jowar,7.5
1997,jute,9.3
1997,jute and mesta,10.5
1997,kharif,6
1997,maize,12
1997,mesta,1.2
1997,oilseeds,18.4
1997,plantation crops,0.3
1997,potato,22.5
1997,pulses,11
1997,rabi,94.7
1997,rapeseed and mustard,4.2
1997,rice,85
1997,rubber,0.6
1997,sugarcane,296
1997,tea,0.8
1997,tur,2.2
1997,wheat,69.7
1997,turmeric,175614
1997,sweet potato,174563
1997,coriander,13169
1997,garlic,146910
1997,arhar/tur,1693632
1997,rapeseed &mustard,3795722
1997,dry ginger,69027
1997,pulses total,14410879
1997,barley,1586845
1997,oilseeds total,39245384
1997,varagu,1600
1997,cardamom,1701
1997,urad,879739
1997,kapas,429
1997,other kharif pulses,72625
1997,paddy,12551503
1997,cotton(lint),10443524
1997,horse-gram,285294
1997,peas & beans (pulses),494650
1997,sannhamp,10448
1997,masoor,391681
1997,arecanut,308584
1997,total foodgrain,38843779
1997,tobacco,422417
1997,samai,12700
1997,dry chillies,618764
1997,tapioca,6770940
1997,banana,8577683
1997,coconut,6344142
1997,onion,1551843
1997,castor seed,784499
1997,moth,24216
1997,small millets,248320
1997,sesamum,463072
1997,safflower,3266
1997,sunflower,248182
1997,niger seed,8841
1997,linseed,159224
1997,ragi,1838314
1997,korra,19200
1997,moong(green gram),574384
1997,khesari,28460
1997,black pepper,57204
1997,other  rabi pulses,151786
1997,cashewnut,93512
1997,soyabean,5475933
1998,bajra,6.8
1998,cereals,185.7
1998,coffee,0.3
1998,cotton,9.5
1998,foodgrains,196.8
1998,gram,3.9
1998,groundnut,6.4
1998,jowar,7.5
1998,jute,9.3
1998,jute and mesta,10.5
1998,kharif,6
1998,maize,12
1998,mesta,1.2
1998,oilseeds,18.4
1998,plantation crops,0.3
1998,potato,22.5
1998,pulses,11
1998,rabi,94.7
1998,rapeseed and mustard,4.2
1998,rice,85
1998,rubber,0.6
1998,sugarcane,296
1998,tea,0.8
1998,tur,2.2
1998,wheat,69.7
1998,turmeric,202331
1998,sweet potato,180212
1998,coriander,199226
1998,garlic,262932
1998,arhar/tur,2558323
1998,rapeseed &mustard,4991966
1998,dry ginger,210832
1998,pulses total,1119887
1998,barley,1479952
1998,oilseeds total,3871002
1998,varagu,1500
1998,cardamom,10060
1998,urad,1149958
1998,kapas,429
1998,other kharif pulses,202442
1998,cotton(lint),11180971
1998,horse-gram,280513
1998,peas & beans (pulses),598281
1998,sannhamp,30177
1998,masoor,486550
1998,arecanut,798183
1998,total foodgrain,1201048
1998,other cereals & millets,102158
1998,tobacco,580406
1998,samai,14300
1998,dry chillies,862141
1998,tapioca,5596386
1998,banana,6246379
1998,coconut,5283860454
1998,onion,2912224
1998,castor seed,841733
1998,moth,131901
1998,other oilseeds,7731
1998,small millets,330661
1998,sesamum,551392
1998,safflower,235417
1998,sunflower,780005
1998,niger seed,35857
1998,linseed,201831
1998,blackgram,18601
1998,ragi,2473731
1998,korra,28600
1998,moong(green gram),1022573
1998,khesari,20850
1998,black pepper,79379
1998,other  rabi pulses,606645
1998,cashewnut,66498
1998,soyabean,7082967
1999,bajra,6.8
1999,cereals,185.7
1999,coffee,0.3
1999,cotton,9.5
1999,foodgrains,196.8
1999,gram,3.9
1999,groundnut,6.4
1999,jowar,7.5
1999,jute,9.3
1999,jute and mesta,10.5
1999,kharif,6
1999,maize,12
1999,mesta,1.2
1999,oilseeds,18.4
1999,plantation crops,0.3
1999,potato,22.5
1999,pulses,11
1999,rabi,94.7
1999,rapeseed and mustard,4.2
1999,rice,85
1999,rubber,0.6
1999,sugarcane,296
1999,tea,0.8
1999,tur,2.2
1999,wheat,69.7
1999,turmeric,293167
1999,sweet potato,572957
1999,coriander,211796
1999,garlic,441224
1999,arhar/tur,2505839
1999,rapeseed &mustard,5315935.1
1999,jute & mesta,17955
1999,dry ginger,285932
1999,pulses total,6634
1999,barley,1384460.6
1999,oilseeds total,31398
1999,varagu,22576
1999,cardamom,10715
1999,urad,1434364
1999,other kharif pulses,330198
1999,cond-spcs other,2260.4
1999,cotton(lint),10644031
1999,horse-gram,359263
1999,peas & beans (pulses),629355
1999,sannhamp,68127
1999,masoor,430642
1999,arecanut,162025
1999,other cereals & millets,3300
1999,tobacco,553226
1999,samai,48503
1999,dry chillies,937184
1999,tapioca,6010718
1999,banana,5788977
1999,coconut,5859817270
1999,onion,3598372
1999,guar seed,3745830
1999,castor seed,772041
1999,moth,35172
1999,small millets,178131
1999,sesamum,550090.6
1999,safflower,259508
1999,sunflower,542646
1999,niger seed,115283
1999,linseed,213357.6
1999,ragi,2182808.2
1999,korra,2030
1999,moong(green gram),1201350
1999,khesari,181971
1999,black pepper,65142
1999,other  rabi pulses,598082
1999,cashewnut,86065
1999,soyabean,6819977
2000,bajra,6.8
2000,cereals,185.7
2000,coffee,0.3
2000,cotton,9.5
2000,foodgrains,196.8
2000,gram,3.9
2000,groundnut,6.4
2000,jowar,7.5
2000,jute,9.3
2000,jute and mesta,10.5
2000,kharif,6
2000,maize,12
2000,mesta,1.2
2000,oilseeds,18.4
2000,plantation crops,0.3
2000,potato,22.5
2000,pulses,11
2000,rabi,94.7
2000,rapeseed and mustard,4.2
2000,rice,85
2000,rubber,0.6
2000,sugarcane,296
2000,tea,0.8
2000,tur,2.2
2000,wheat,69.7
2000,turmeric,684886
2000,sweet potato,474245
2000,coriander,229565
2000,garlic,155232
2000,arhar/tur,2258407
2000,rapeseed &mustard,3700774.4
2000,jute & mesta,23635
2000,dry ginger,345556
2000,pulses total,6780
2000,barley,1418351
2000,oilseeds total,31759
2000,varagu,1216
2000,cardamom,13290
2000,urad,1252876.8
2000,kapas,7684
2000,other kharif pulses,426234
2000,cotton(lint),9157889
2000,horse-gram,296673.3
2000,peas & beans (pulses),427855
2000,sannhamp,72801
2000,masoor,695492.5
2000,arecanut,352915
2000,other cereals & millets,82681
2000,tobacco,330041
2000,samai,14135
2000,dry chillies,910118
2000,tapioca,6825440
2000,banana,6619713
2000,coconut,6880408908
2000,onion,2487817
2000,guar seed,542577
2000,castor seed,893348.4
2000,moth,151143
2000,other oilseeds,1165
2000,small millets,495343.9
2000,sesamum,531230.7
2000,safflower,203263.4
2000,sunflower,617208.2
2000,niger seed,106472
2000,linseed,168659.6
2000,other misc. pulses,3032
2000,ragi,2637067.7
2000,korra,24496
2000,moong(green gram),1029844.1
2000,khesari,294629
2000,black pepper,79700
2000,other  rabi pulses,438388
2000,cashewnut,121585
2000,soyabean,5253274
2001,bajra,6.8
2001,cereals,185.7
2001,coffee,0.3
2001,cotton,9.5
2001,foodgrains,196.8
2001,gram,3.9
2001,groundnut,6.4
2001,jowar,7.5
2001,jute,9.3
2001,jute and mesta,10.5
2001,kharif,6
2001,maize,12
2001,mesta,1.2
2001,oilseeds,18.4
2001,plantation crops,0.3
2001,potato,22.5
2001,pulses,11
2001,rabi,94.7
2001,rapeseed and mustard,4.2
2001,rice,85
2001,rubber,0.6
2001,sugarcane,296
2001,tea,0.8
2001,tur,2.2
2001,wheat,69.7
2001,turmeric,401082
2001,sweet potato,489658
2001,coriander,307060
2001,garlic,231244
2001,arhar/tur,2247749.1
2001,rapeseed &mustard,4733424
2001,jute & mesta,25400
2001,dry ginger,363052
2001,pulses total,7126
2001,barley,1417982
2001,oilseeds total,37164
2001,varagu,671
2001,cardamom,12729
2001,urad,1305136.66
2001,other kharif pulses,379980
2001,cotton(lint),9841427
2001,horse-gram,255656.1
2001,peas & beans (pulses),541705.94
2001,sannhamp,22666
2001,masoor,732517.63
2001,arecanut,374014
2001,other cereals & millets,3387
2001,tobacco,477372.01
2001,samai,14953
2001,dry chillies,933599
2001,tapioca,2653607
2001,banana,4217107
2001,coconut,6881286542
2001,onion,2878134
2001,guar seed,935495
2001,castor seed,645211.01
2001,moth,325483.6
2001,other oilseeds,855
2001,small millets,509202.1
2001,sesamum,678333.6
2001,safflower,220903.04
2001,sunflower,668100.01
2001,niger seed,198162.06
2001,linseed,191910.41
2001,ragi,2326220.8
2001,korra,18359
2001,moong(green gram),965205.2
2001,khesari,387013
2001,black pepper,80436
2001,other  rabi pulses,536467
2001,cashewnut,104955
2001,soyabean,5921466
2002,bajra,7.26
2002,cereals,190.03
2002,coffee,0.3
2002,cotton,11.84
2002,foodgrains,201.66
2002,gram,4.17
2002,groundnut,6.8
2002,jowar,7.56
2002,jute,9.43
2002,jute and mesta,10.6
2002,kharif,6.14
2002,maize,13
2002,mesta,1.17
2002,oilseeds,20.03
2002,plantation crops,0.4
2002,potato,23.36
2002,pulses,11.54
2002,rabi,96.86
2002,rapeseed and mustard,4.43
2002,rice,86.67
2002,rubber,0.63
2002,sugarcane,303.46
2002,tea,0.83
2002,tur,2.33
2002,wheat,70.97
2002,beans & mutter(vegetable),84737
2002,turmeric,844135.02
2002,cucumber,0
2002,turnip,145
2002,sweet potato,597144
2002,coriander,167073.11
2002,garlic,259161
2002,arhar/tur,1803118.47
2002,rapeseed &mustard,3597882.78
2002,ribed guard,0
2002,pome fruit,212912
2002,water melon,0
2002,jute & mesta,23307
2002,dry ginger,361163.1
2002,orange,802476
2002,bhindi,153024
2002,beet root,0
2002,arcanut (processed),192831
2002,tomato,1015497
2002,grapes,366079
2002,ber,0
2002,pulses total,7239
2002,barley,1378805.1
2002,oilseeds total,36341
2002,brinjal,351756
2002,drum stick,23052
2002,varagu,16789
2002,yam,0
2002,cardamom,13403
2002,urad,1279533.9
2002,other kharif pulses,352858
2002,lab-lab,0
2002,cotton(lint),8563352.2
2002,cashewnut processed,8121
2002,horse-gram,204698.6
2002,peas & beans (pulses),513287
2002,sannhamp,36476
2002,masoor,671077.15
2002,arecanut,194190
2002,pineapple,504690
2002,bottle gourd,130
2002,other cereals & millets,2968
2002,tobacco,526567.11
2002,samai,31032
2002,cashewnut raw,98462
2002,mango,2779266
2002,dry chillies,816279.71
2002,citrus fruit,382994
2002,snak guard,0
2002,redish,2059
